Symbol,Full Time Employees,EBTIDA,Total Revenue,Market Cap,EV / Revenue,EV / EBITDA,Industry Encoded,MDS1,MDS2
RDHL,53.0,-20.941,3.707,14.098732,34102.57,-6036.876,14.5832232,-3692.157842981796,-1715.0015396200738
STRM,77.0,-6.901,21.594,12.284876,-0.243,0.761,12.387767,315.0346953984637,8125.73881765156
CANF,8.0,-7.785,0.667,14.631433,5907.958,-506.18,10.88389732,-3692.157842981796,-1715.0015396200738
ALIMP.PA,40.0,-5.111,7.447,13.74648,2.639,-3.845,10.968551571428572,-4228.023201572941,1767.3940775532487
AWH,64.0,-17.222,8.923,13.822125,1.706,-0.884,12.216909875,315.0346953984637,8125.73881765156
PMD,116.0,-2.241,20.787,13.540888,0.671,-6.223,12.216909875,315.0346953984637,8125.73881765156
VAPO,182.0,-20.465,70.919,13.55152,1.88,-6.513,10.968551571428572,315.0346953984637,8125.73881765156
ALDVI.PA,21.0,-6.565,3.266,12.773904,7.723,-3.842,10.88389732,-4228.023201572941,1767.3940775532487
STRR,171.0,-6.478,47.147,13.259848,0.884,-6.432,12.216909875,315.0346953984637,8125.73881765156
FLGC,97.0,-6.976,69.006,14.034824,0.21,-2.073,14.5832232,315.0346953984637,8125.73881765156
UPC,225.0,-3.017989,32.308736,10.87716,-0.351,3.762,14.5832232,2261.39896977108,-2983.0145285641433
GHSI,9.0,-3.556454,12.228713,12.725958,-0.174,0.597,14.5832232,315.0346953984637,8125.73881765156
SSKN,99.0,0.08,32.73,12.596903,0.722,295.299,10.968551571428572,315.0346953984637,8125.73881765156
ALVIO.PA,19.0,-18.916,1.8,12.2889,8.998,-0.856,10.88389732,-4228.023201572941,1767.3940775532487
PETV,20.0,-9.642997,0.975274,11.953132,13.132,-1.328,10.968551571428572,315.0346953984637,8125.73881765156
AVNT.TO,180.0,-7.69,27.695,12.231852,0.838,-3.016,14.5832232,1111.742401758638,6172.973997898777
DOMH,26.0,-14.089,9.509,11.925294,0.32,-0.216,10.88389732,315.0346953984637,8125.73881765156
BRTX,11.0,-12.727908,0.1741,12.455856,-12.217,0.167,10.88389732,315.0346953984637,8125.73881765156
VRAX,17.0,-6.051248,0.156419,12.331166,23.269,-0.601,10.88389732,-3464.3830568038215,2392.639837567248
GLYC,35.0,-40.783964,0.01,10.459305,-1147.798,0.281,10.88389732,315.0346953984637,8125.73881765156
KPRX,12.0,6.322639,16.02,10.129542,-1.099,-2.785,10.88389732,315.0346953984637,8125.73881765156
ALBLU.PA,85.0,-0.323975,9.826,10.451345,0.974,-29.54,10.968551571428572,-4228.023201572941,1767.3940775532487
CJJD,939.0,-2.762591,154.541072,11.045107,0.161,-9.003,11.045107,2261.39896977108,-2983.0145285641433
BCDA,16.0,-8.529,0.428,9.875273,13.333,-0.669,10.88389732,315.0346953984637,8125.73881765156
ALAMA.PA,80.0,-7.644,3.013,10.645,1.754,-0.692,12.387767,-4228.023201572941,1767.3940775532487
OTRK,102.0,-14.88,12.385,10.5433,0.841,-0.7,12.387767,315.0346953984637,8125.73881765156
JAGX,49.0,-29.431,10.185,10.165353,2.988,-1.034,10.88389732,315.0346953984637,8125.73881765156
